(250393261049130.8, 325525768228172.94)
(213216774304642.78, 332410302810485.5)
(306376959861163.6, 315158416596315.0)
(244465129757286.75, 326623570319255.2)
(220680120791470.3, 331028201609221.2)
(320823595839377.5, 312483113637386.5)
(223814676828686.0, 330447728268996.06)
(227373065840974.9, 329788767340794.4)
(256363473389275.34, 324420173350368.4)
(323772911250668.56, 311936944116777.06)
(301405941753672.4, 316078975505109.7)
(302266584060068.0, 315919597300221.6)
(276253509829338.38, 320736833268875.25)
(294068426809472.5, 317437774568850.4)
(209579181648526.0, 333083931080136.75)
(310058047770760.94, 314476733650093.25)
(360046583469492.6, 305219597409587.44)
(304828600713511.9, 315445149771806.06)
(398867298146055.25, 298030576173186.94)
(313727938002819.56, 313797124347860.2)
(377564391776631.0, 301975558834191.44)
(286651320621278.0, 318811312751849.4)
(268391301578171.62, 322192797759832.0)
(221700448623538.44, 330839252010690.0)
(351751702579918.6, 306755686463212.2)
(209187893942688.84, 333156391766402.94)
(238534422689846.6, 327721849405818.1)
(335294922152760.9, 309803238394167.4)
(308299340932401.4, 314802420101641.3)
(249213438814072.84, 325744253827257.75)
(254184065844231.75, 324823767340191.25)
(286692675508482.3, 318803654439404.1)
(244755849056656.16, 326569733411964.5)
(374762746125614.06, 302494382102898.25)
(347202079294701.1, 307598209293808.06)
(231122145726312.84, 329094493287954.0)
(256931566403568.44, 324314970940314.1)
(270787650295081.0, 321749029478922.9)
(233613468948699.62, 328633137135660.2)
(223994122193872.1, 330414497645813.44)
(364641827269154.06, 304368626335576.0)
(321342394833561.5, 312387039749574.6)
(272713142137782.22, 321392456915459.7)
(223114149899724.38, 330577455478063.0)
(262234807252140.66, 323332889301689.6)
(296124293437150.3, 317057058526687.8)
(236545316894069.1, 328090202330962.1)
(254611656967014.56, 324744583798935.2)
(203802853794490.3, 334153621423476.75)
(369658209815352.44, 303439666604798.56)
(342126534402011.94, 308538125014676.44)
(214089369720381.72, 332248711066830.2)
(248279135041822.7, 325917273044341.06)
(311294758798035.4, 314247713089486.9)
(230377795058381.12, 329232336004237.7)
(330004147070766.8, 310783011557499.56)
(274570519068225.2, 321048498224636.94)
(336716744780210.5, 309539937907602.6)
(258166629211146.9, 324086255605577.4)
(304889832414579.0, 315433810567904.75)
(322847583550342.0, 312108301098319.0)
(249206065703937.28, 325745619218023.56)
(225865992416333.8, 330067855012024.25)
(211307546323216.47, 332763863547786.7)
(310442578511844.6, 314405524253596.3)
(229071636158764.56, 329474217281944.44)
(369835675610923.7, 303406802568581.6)
(269784753970773.25, 321934751020461.4)
(389278109979059.3, 299806351759667.6)
(358959886538611.5, 305420837581972.8)
(284531868522063.56, 319203803881333.5)
(261810732859891.7, 323411421596550.56)
(229594511669384.22, 329377388483681.56)
(349591377376978.75, 307155746685978.9)
(287562189682785.7, 318642633296014.6)
(206382858551297.22, 333675842764808.75)
(236093260944350.38, 328173916395724.9)
(229120373658167.12, 329465191819092.1)
(207643688475235.06, 333442355741857.3)
(238351665410527.03, 327755693346432.9)
(261620986485374.12, 323446559814053.8)
(354595771504633.25, 306229007032709.5)
(228971337828293.2, 329492791046846.56)
(344977675890176.7, 308010135850201.44)
(203414455796802.1, 334225546978604.2)
(321331423961904.9, 312389071392474.0)
(368244310536642.06, 303701499804559.75)
(326765105071666.44, 311382834149925.56)
(375352867160375.1, 302385100429794.4)
(206477865096140.28, 333658248960208.2)
(384196703554936.4, 300747352949320.06)
(279388300810162.3, 320156316420574.5)
(296132693982563.7, 317055502870129.8)
(200725035778681.38, 334723587722700.6)
(236925794129615.78, 328019743583638.7)
(295311284715806.1, 317207615697307.1)
(241717839023003.53, 327132327862640.94)
(391151728206033.2, 299459385421339.1)
(240014876582708.9, 327447691277510.3)
(224351957951129.2, 330348231764839.9)
(327442386246058.8, 311257411710223.3)
(205207430562465.4, 333893514614592.44)
(235196408990173.44, 328340000090942.8)
(212586337603339.97, 332527050347763.8)
(250246728371504.72, 325552903909214.8)
(257682928008187.28, 324175829902421.75)
(261859675530063.44, 323402358139111.3)
(203147983695232.9, 334274893664079.94)
(301966635947527.8, 315975143246988.3)
(298517028995311.5, 316613959349250.56)
